0.75	2	10	168.5
0.825	1.5	11	124.75
0.675	2.5	9	212.25
0.7125	1.75	10.5	102.875
0.8625	2.75	8.5	190.375
0.7875	1.25	9.5	146.625
0.6375	2.25	11.5	234.125
0.65625	1.625	9.25	201.3125
0.80625	2.625	11.25	113.8125
0.88125	1.125	10.25	245.0625
0.73125	2.125	8.25	157.5625
0.69375	1.375	11.75	179.4375
0.84375	2.375	9.75	91.9375
0.76875	1.875	8.75	223.1875
0.61875	2.875	10.75	135.6875
0.628125	1.9375	11.375	152.09375
0.778125	2.9375	9.375	239.59375
0.853125	1.4375	8.375	108.34375
0.703125	2.4375	10.375	195.84375
0.740625	1.1875	9.875	130.21875
0.890625	2.1875	11.875	217.71875
0.815625	1.6875	10.875	86.46875
0.665625	2.6875	8.875	173.96875
0.646875	1.3125	10.125	228.65625
0.796875	2.3125	8.125	141.15625
0.871875	1.8125	9.125	184.90625
0.721875	2.8125	11.125	97.40625
0.684375	1.5625	8.625	250.53125
0.834375	2.5625	10.625	163.03125
0.759375	1.0625	11.625	206.78125
0.609375	2.0625	9.625	119.28125
0.6140625	1.53125	10.4375	182.171875
0.7640625	2.53125	8.4375	94.671875
0.8390625	1.03125	9.4375	225.921875
0.6890625	2.03125	11.4375	138.421875
0.7265625	1.28125	8.9375	204.046875
0.8765625	2.28125	10.9375	116.546875
0.8015625	1.78125	11.9375	247.796875
0.6515625	2.78125	9.9375	160.296875
0.6703125	1.15625	11.1875	105.609375
